,user_gender,referral_code_used,user_age,monthly_total_sell,EOP_Saham_AUM,EOP_Pasar_Uang_AUM,EOP_Pendapatan_Tetap_AUM,EOP_Campuran_AUM,EOP_total_invested_amount,EOP_profit_rate,user_vintage,predicted_score
5622,1,0,36.0,0.0,1598188.0,160234.0,211271.0,0.0,1900000.0,3.668052631578948,1.0,0.6543400666098922
5623,0,0,26.0,0.0,0.0,201216.0,0.0,0.0,200000.0,0.608,1.0,0.5680545984429157
5624,0,0,34.0,0.0,311454.0,0.0,201074.0,0.0,500000.0,2.5056,1.0,0.6938790403529534
5625,0,0,41.0,-684000.0,211965.0,30036.0,60116.0,0.0,300000.0,0.7056666666666667,1.0,0.6529746146355343
5626,1,0,22.0,-239032.0,12137.0,0.0,0.0,0.0,10968.0,10.658278628738147,1.0,0.8209284729319385
5628,0,1,65.0,-120000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6830744480344453
5629,1,1,53.0,0.0,44113.0,10040.0,50342.0,0.0,100000.0,4.495,1.0,0.698753949870841
5633,0,1,51.0,0.0,0.0,100779.0,0.0,0.0,100000.0,0.779,1.0,0.6363942669008437
5634,0,1,33.0,-50000.0,277984.0,20051.0,45160.0,0.0,335000.0,2.4462686567164176,1.0,0.5974521853179905
5635,0,0,38.0,0.0,2603957.0,11034113.0,11550898.0,0.0,25000000.0,0.755872,1.0,0.7675935787755019
5636,0,0,24.0,0.0,10654.0,20111.0,0.0,0.0,30000.0,2.55,1.0,0.6381501352448918
5637,0,0,29.0,0.0,411350.0,100267.0,530612.0,0.0,1000000.0,4.2229,1.0,0.733048048002647
5641,0,1,28.0,-104994.0,33308.0,0.0,0.0,0.0,32006.0,4.067987252390177,1.0,0.6352963170771689
5647,0,0,19.0,0.0,278409.0,40162.0,401287.0,0.0,700000.0,2.8368571428571427,1.0,0.6229318163471936
5649,0,1,28.0,0.0,257142.0,0.0,100675.0,0.0,350000.0,2.233428571428571,1.0,0.55803832508012
5650,1,0,38.0,0.0,44263.0,10040.0,50332.0,0.0,100000.0,4.635,1.0,0.7035408767720635
5654,1,0,20.0,0.0,772660.0,140545.0,651922.0,0.0,1500000.0,4.3418,1.0,0.591000000138072
5655,1,1,40.0,16000000.0,0.0,0.0,0.0,20527225.0,21000000.0,-2.2513095238095238,1.0,0.5737096281732634
5657,0,0,35.0,-476214.0,135067.0,20226.0,80378.0,0.0,223786.0,5.310877356045507,1.0,0.7889135581026268
5658,1,0,25.0,0.0,66169.0,20080.0,30205.0,0.0,110000.0,5.867272727272727,1.0,0.6798872146121646
5665,1,0,43.0,0.0,54413.0,10039.0,40264.0,0.0,100000.0,4.716,1.0,0.7322361536394598
5666,0,0,38.0,-100000.0,187112.0,30097.0,100532.0,0.0,300000.0,5.913666666666666,1.0,0.8212653501477303
5667,1,0,35.0,0.0,77461.0,10042.0,20133.0,0.0,100000.0,7.636,1.0,0.7900900155844912
5669,1,0,61.0,0.0,316549.0,410637.0,1553018.0,0.0,2250000.0,1.3424,1.0,0.7135636934811924
5676,0,1,26.0,-100000.0,175857.0,0.0,0.0,0.0,165000.0,6.58,1.0,0.722000637025381
5678,0,0,21.0,0.0,93881.0,40134.0,120123.0,0.0,250000.0,1.6552,1.0,0.5826550916056005
5681,0,0,25.0,0.0,0.0,0.0,2013618.0,0.0,2000000.0,0.6809,1.0,0.5787181602910167
5691,0,0,47.0,0.0,191766.0,40048.0,272335.0,0.0,500000.0,0.8298,0.0,0.7164995367353304
5692,0,1,34.0,0.0,1867730.0,220782.0,999147.0,0.0,3025000.0,2.0713719008264464,1.0,0.593860583104598
5693,0,0,41.0,0.0,73433.0,20093.0,110474.0,0.0,200000.0,2.0,1.0,0.7120416469418203
5697,1,0,44.0,0.0,3988098.0,502148.0,2209324.0,0.0,6500000.0,3.070307692307692,1.0,0.6873568618044305
5698,0,0,27.0,0.0,418416.0,90308.0,391530.0,0.0,880000.0,2.3015909090909092,1.0,0.6479853996546392
5700,1,0,25.0,0.0,43530.0,10040.0,50330.0,0.0,100000.0,3.9,1.0,0.5988064608111832
5701,1,1,33.0,0.0,518327.0,100397.0,431379.0,0.0,1000000.0,5.0103,1.0,0.6067103097904548
5715,1,1,35.0,0.0,142357.0,20078.0,75427.0,0.0,225000.0,5.716444444444444,1.0,0.6460367927523506
5718,1,0,29.0,-320000.0,392136.0,70274.0,261647.0,0.0,700000.0,3.436714285714286,1.0,0.6002966256173767
5720,1,0,46.0,0.0,418617.0,270627.0,572410.0,0.0,1240000.0,1.7462903225806452,1.0,0.6385711775683811
5721,0,0,28.0,-200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5497596186465036
